province,cultivated_areas,harvested_area,product,rain,fertilizer_price,oil_price,plant_price,year,type
สมุทรสงคราม,3554,3490,2272,1208.6,18843.97,36.75,9.86,2555,ข้าว
เพชรบุรี,320271,319810,223873,1062.8,18843.97,36.75,9.86,2555,ข้าว
ประจวบคีรีขันธ์,45904,44179,25110,1175.8,18843.97,36.75,9.86,2555,ข้าว
ชุมพร,6859,6731,2498,2084.1,18843.97,36.75,9.86,2555,ข้าว
ระนอง,772,772,256,5559.4,18843.97,36.75,9.86,2555,ข้าว
สุราษฎร์ธานี,7791,7478,2852,1559,18843.97,36.75,9.86,2555,ข้าว
พังงา,1718,1718,552,2138.3,18843.97,36.75,9.86,2555,ข้าว
ภูเก็ต,69,69,34,2788.3,18843.97,36.75,9.86,2555,ข้าว
กระบี่,3252,3252,1125,2764.1,18843.97,36.75,9.86,2555,ข้าว
ตรัง,13189,13189,5046,2572.9,18843.97,36.75,9.86,2555,ข้าว
นครศรีธรรมราช,331435,321562,149242,2771.5,18843.97,36.75,9.86,2555,ข้าว
พัทลุง,145051,128249,59502,2111.5,18843.97,36.75,9.86,2555,ข้าว
สงขลา,229126,227282,128723,2686.9,18843.97,36.75,9.86,2555,ข้าว
สตูล,32881,32459,12677,2595.7,18843.97,36.75,9.86,2555,ข้าว
ปัตตานี,109616,107900,40492,1735.9,18843.97,36.75,9.86,2555,ข้าว
ยะลา,31545,31239,7248,2147.4,18843.97,36.75,9.86,2555,ข้าว
นราธิวาส,69220,68832,24144,3026.9,18843.97,36.75,9.86,2555,ข้าว
เชียงราย,1339975,1313656,812922,2141.5,16028.76,38.32,7.89,2556,ข้าว
พะเยา,665999,642588,372551,1177.7,16028.76,38.32,7.89,2556,ข้าว
ลำปาง,432350,424404,234793,1101.4,16028.76,38.32,7.89,2556,ข้าว
ลำพูน,116936,111634,68990,1137,16028.76,38.32,7.89,2556,ข้าว
เชียงใหม่,477417,459535,305277,1288,16028.76,38.32,7.89,2556,ข้าว
แม่ฮ่องสอน,173679,171349,73092,1250.6,16028.76,38.32,7.89,2556,ข้าว
ตาก,291914,275729,129493,1142.5,16028.76,38.32,7.89,2556,ข้าว
กําแพงเพชร,1453909,1443393,882413,1526.9,16028.76,38.32,7.89,2556,ข้าว
สุโขทัย,1126723,1102800,645638,1507.2,16028.76,38.32,7.89,2556,ข้าว
แพร่,292418,289171,179158,1148.8,16028.76,38.32,7.89,2556,ข้าว
น่าน,237866,232541,122875,1053.2,16028.76,38.32,7.89,2556,ข้าว
อุตรดิตถ์,616339,610573,388020,1345.6,16028.76,38.32,7.89,2556,ข้าว
พิษณุโลก,1444387,1414567,876308,1470.8,16028.76,38.32,7.89,2556,ข้าว
พิจิตร,1802563,1786956,1107245,1225.5,16028.76,38.32,7.89,2556,ข้าว
นครสวรรค์,2440206,2357813,1416140,1050.8,16028.76,38.32,7.89,2556,ข้าว
อุทัยธานี,598234,592312,372982,0,16028.76,38.32,7.89,2556,ข้าว
เพชรบูรณ์,1162783,1123828,649268,1381.4,16028.76,38.32,7.89,2556,ข้าว
เลย,370959,360909,142193,1548.5,16028.76,38.32,7.89,2556,ข้าว
หนองบัวลำภู,742950,737010,232792,0,16028.76,38.32,7.89,2556,ข้าว
อุดรธานี,1750200,1710138,614145,1350.1,16028.76,38.32,7.89,2556,ข้าว
หนองคาย,493544,481337,173535,1309.4,16028.76,38.32,7.89,2556,ข้าว
บึงกาฬ,483311,440398,135726,0,16028.76,38.32,7.89,2556,ข้าว
สกลนคร,1892805,1764153,611264,2044.3,16028.76,38.32,7.89,2556,ข้าว
นครพนม,1306715,1253684,486919,2054.5,16028.76,38.32,7.89,2556,ข้าว
มุกดาหาร,487686,485382,175524,1751.7,16028.76,38.32,7.89,2556,ข้าว
ยโสธร,1353976,1219202,444747,0,16028.76,38.32,7.89,2556,ข้าว
อํานาจเจริญ,964303,934096,317537,0,16028.76,38.32,7.89,2556,ข้าว
อุบลราชธานี,3891535,3680200,1265989,1798.6,16028.76,38.32,7.89,2556,ข้าว
ศรีสะเกษ,3020087,2662661,1042351,1618.8,16028.76,38.32,7.89,2556,ข้าว
สุรินทร์,3173938,2951276,1130219,1608.3,16028.76,38.32,7.89,2556,ข้าว
บุรีรัมย์,2735624,2517487,925379,1347.7,16028.76,38.32,7.89,2556,ข้าว
มหาสารคาม,2158657,1927604,718450,1139.7,16028.76,38.32,7.89,2556,ข้าว
ร้อยเอ็ด,3086657,2830397,1056596,1606.5,16028.76,38.32,7.89,2556,ข้าว
กาฬสินธุ์,1484044,1482381,535701,1020.6,16028.76,38.32,7.89,2556,ข้าว
ขอนแก่น,2487781,2095587,709128,943,16028.76,38.32,7.89,2556,ข้าว
ชัยภูมิ,1617366,1331242,509319,1333.3,16028.76,38.32,7.89,2556,ข้าว
นครราชสีมา,3564491,2884993,1067623,1306,16028.76,38.32,7.89,2556,ข้าว
สระบุรี,389103,380174,245028,0,16028.76,38.32,7.89,2556,ข้าว
ลพบุรี,745476,706136,406163,1065.2,16028.76,38.32,7.89,2556,ข้าว
สิงห์บุรี,316217,315264,220723,0,16028.76,38.32,7.89,2556,ข้าว
ชัยนาท,794856,792795,533044,1286.2,16028.76,38.32,7.89,2556,ข้าว
สุพรรณบุรี,1218261,1215037,863767,1048.9,16028.76,38.32,7.89,2556,ข้าว
อ่างทอง,343606,337577,225439,0,16028.76,38.32,7.89,2556,ข้าว
พระนครศรีอยุธยา,922179,917145,614555,905.8,16028.76,38.32,7.89,2556,ข้าว
นนทบุรี,113568,113354,82849,0,16028.76,38.32,7.89,2556,ข้าว
กรงุเทพมหานคร,109481,108671,73676,1772.9,16028.76,38.32,7.89,2556,ข้าว
ปทุมธานี,328031,327567,244740,1202.5,16028.76,38.32,7.89,2556,ข้าว
นครนายก,412857,402576,231935,0,16028.76,38.32,7.89,2556,ข้าว
ปราจีนบุรี,465992,398619,170436,2128.7,16028.76,38.32,7.89,2556,ข้าว
ฉะเชิงเทรา,713344,699864,448730,1777,16028.76,38.32,7.89,2556,ข้าว
สระแก้ว,806379,727974,240461,2015.3,16028.76,38.32,7.89,2556,ข้าว
จันทบุรี,24481,23005,8838,3081.4,16028.76,38.32,7.89,2556,ข้าว
ตราด,20680,20032,8185,4190.1,16028.76,38.32,7.89,2556,ข้าว
ระยอง,21410,19747,8594,0,16028.76,38.32,7.89,2556,ข้าว
ชลบุรี,81745,76432,37508,1423.6,16028.76,38.32,7.89,2556,ข้าว
สมุทรปราการ,32538,32348,26022,1726,16028.76,38.32,7.89,2556,ข้าว
สมุทรสาคร,13397,13297,9383,0,16028.76,38.32,7.89,2556,ข้าว
นครปฐม,398750,398076,301093,956.9,16028.76,38.32,7.89,2556,ข้าว
กาญจนบุรี,421162,417240,258752,1129.4,16028.76,38.32,7.89,2556,ข้าว
